lat,lon,name,admin1,admin2,cc
61.1508,-149.1091,Anchorage,Alaska,Anchorage,US
40.8099,-96.6784,Lincoln,Nebraska,Lancaster,US
35.3933,-80.6369,Concord,North Carolina,Cabarrus,US
40.7184,-74.0686,Jersey City,New Jersey,Hudson,US
37.1943,-93.2916,Springfield,Missouri,Greene,US
32.4653,-93.7955,Shreveport,Louisiana,Caddo,US
33.0502,-96.7486,Plano,Texas,Collin,US
41.5565,-90.6053,Davenport,Iowa,Scott,US
33.5657,-101.8879,Lubbock,Texas,Lubbock,US
28.0557,-81.9545,Lakeland,Florida,Polk,US
41.6767,-86.2696,South Bend,Indiana,St. Joseph,US
32.6281,-117.0144,Chula Vista,California,San Diego,US
42.2596,-89.0640,Rockford,Illinois,Winnebago,US
40.3400,-75.9267,Reading,Pennsylvania,Berks,US
33.2825,-111.8514,Chandler,Arizona,Maricopa,US
44.0564,-123.1174,Eugene,Oregon,Lane,US
34.2099,-77.8866,Wilmington,North Carolina,New Hanover,US
34.4175,-118.4964,Santa Clarita,California,Los Angeles,US
44.9233,-123.0244,Salem,Oregon,Marion,US
31.0753,-97.7297,Killeen,Texas,Bell,US
42.3791,-88.0811,Round Lake Beach,Illinois,Lake,US
32.5100,-84.8771,Columbus,Georgia,Muscogee,US
33.3100,-111.7463,Gilbert,Arizona,Maricopa,US
46.1978,-119.1732,Kennewick,Washington,Benton,US
36.2883,-115.0888,North Las Vegas,Nevada,Clark,US
30.4551,-84.2527,Tallahassee,Florida,Leon,US
27.7931,-82.6652,St. Petersburg,Florida,Pinellas,US
27.5625,-99.4874,Laredo,Texas,Webb,US
32.8583,-96.9702,Irving,Texas,Dallas,US
40.7520,-89.6154,Peoria,Illinois,Peoria,US
32.3482,-86.2668,Montgomery,Alabama,Montgomery,US
39.9651,-76.7315,York,Pennsylvania,York,US
36.6778,-76.3023,Chesapeake,Virginia,Chesapeake,US
33.5791,-112.2311,Glendale,Arizona,Maricopa,US
42.7491,-71.4910,Nashua,New Hampshire,Hillsborough,US
32.9100,-96.6304,Garland,Texas,Dallas,US
33.6872,-111.8651,Scottsdale,Arizona,Maricopa,US
36.8945,-76.2590,Norfolk,Virginia,Norfolk,US
30.2082,-92.0325,Lafayette,Louisiana,Lafayette,US
38.8786,-77.1011,Arlington,Virginia,Arlington,US
44.2780,-88.3892,Appleton,Wisconsin,Outagamie,US
37.5265,-121.9843,Fremont,California,Alameda,US
18.4382,-67.1537,Aguadilla,Puerto Rico,Aguadilla,US
34.9415,-81.0241,Rock Hill,South Carolina,York,US
46.8651,-96.8292,Fargo,North Dakota,Cass,US
30.4274,-89.0704,Gulfport,Mississippi,Harrison,US
47.5436,-122.7121,Bremerton,Washington,Kitsap,US
44.5148,-87.9895,Green Bay,Wisconsin,Brown,US
25.8696,-80.3045,Hialeah,Florida,Miami-Dade,US
28.9050,-81.2137,Deltona,Florida,Volusia,US
29.6804,-82.3459,Gainesville,Florida,Alachua,US
34.1416,-117.2943,San Bernardino,California,San Bernardino,US
36.0091,-115.2278,Enterprise,Nevada,Clark,US
37.2785,-79.9581,Roanoke,Virginia,Roanoke,US
36.0952,-115.2636,Spring Valley,Nevada,Clark,US
47.2431,-122.4531,Tacoma,Washington,Pierce,US
25.9975,-97.4580,Brownsville,Texas,Cameron,US
30.5852,-96.2959,College Station,Texas,Brazos,US
47.0417,-122.8959,Olympia,Washington,Thurston,US
36.5692,-87.3413,Clarksville,Tennessee,Montgomery,US
40.9466,-73.8673,Yonkers,New York,Westchester,US
34.1914,-118.8756,Thousand Oaks,California,Ventura,US
43.6773,-70.2715,Portland,Maine,Cumberland,US
33.9244,-117.2045,Moreno Valley,California,Riverside,US
34.0968,-117.4599,Fontana,California,San Bernardino,US
35.7410,-81.3223,Hickory,North Carolina,Catawba,US
35.1984,-101.8316,Amarillo,Texas,Potter,US
43.5396,-96.7311,Sioux Falls,South Dakota,Minnehaha,US
37.9881,-87.5341,Evansville,Indiana,Vanderburgh,US
38.4109,-82.4345,Huntington,West Virginia,Cabell,US
41.5582,-73.0361,Waterbury,Connecticut,Naugatuck Valley,US
41.4409,-82.1840,Lorain,Ohio,Lorain,US
42.2749,-85.5882,Kalamazoo,Michigan,Kalamazoo,US
29.2484,-94.8913,Galveston,Texas,Galveston,US
34.9442,-81.9251,Spartanburg,South Carolina,Spartanburg,US
34.4285,-119.7202,Santa Barbara,California,Santa Barbara,US
33.6960,-118.0018,Huntington Beach,California,Orange,US
34.1819,-118.2468,Glendale,California,Los Angeles,US
36.1783,-115.0487,Sunrise Manor,Nevada,Clark,US
32.6871,-97.0208,Grand Prairie,Texas,Dallas,US
31.5599,-97.1882,Waco,Texas,McLennan,US
39.6401,-77.7217,Hagerstown,Maryland,Washington,US
38.8870,-94.6870,Overland Park,Kansas,Johnson,US
43.5844,-116.5638,Nampa,Idaho,Canyon,US
33.1560,-96.8216,Frisco,Texas,Collin,US
41.9662,-91.6783,Cedar Rapids,Iowa,Linn,US
36.0872,-115.1355,Paradise,Nevada,Clark,US
33.2016,-96.6670,McKinney,Texas,Collin,US
45.6366,-122.5967,Vancouver,Washington,Clark,US
33.7843,-112.2989,Peoria,Arizona,Maricopa,US
29.1780,-82.1511,Ocala,Florida,Marion,US
42.1167,-80.0733,Erie,Pennsylvania,Erie,US
37.1051,-76.5185,Newport News,Virginia,Newport News,US
39.4337,-77.4141,Frederick,Maryland,Frederick,US
35.8490,-86.4121,Murfreesboro,Tennessee,Rutherford,US
41.7638,-88.2902,Aurora,Illinois,Kane,US
26.1412,-80.1464,Fort Lauderdale,Florida,Broward,US
41.4015,-73.4709,Danbury,Connecticut,Western Connecticut,US
33.3881,-111.9319,Tempe,Arizona,Maricopa,US
28.4798,-82.5300,Spring Hill,Florida,Hernando,US
35.2494,-81.1854,Gastonia,North Carolina,Gaston,US
36.6883,-121.6317,Salinas,California,Monterey,US
38.2992,-77.4872,Fredericksburg,Virginia,Fredericksburg,US
34.2902,-83.8294,Gainesville,Georgia,Hall,US
38.4161,-121.3842,Elk Grove,California,Sacramento,US
34.0393,-117.6064,Ontario,California,San Bernardino,US
33.2247,-117.3083,Oceanside,California,San Diego,US
34.1247,-117.5667,Rancho Cucamonga,California,San Bernardino,US
33.7787,-117.9601,Garden Grove,California,Orange,US
34.6935,-118.1753,Lancaster,California,Los Angeles,US
35.7819,-78.8195,Cary,North Carolina,Wake,US
33.7341,-116.9969,Hemet,California,Riverside,US
26.0128,-80.3382,Pembroke Pines,Florida,Broward,US
18.3794,-66.1635,Bayamón,Puerto Rico,Bayamón,US
30.1995,-85.6003,Panama City,Florida,Bay,US
38.1125,-122.2342,Vallejo,California,Solano,US
42.9848,-71.4447,Manchester,New Hampshire,Hillsborough,US
42.3372,-122.8540,Medford,Oregon,Jackson,US
34.7821,-82.3032,Mauldin,South Carolina,Greenville,US
34.5944,-118.1057,Palmdale,California,Los Angeles,US
36.9789,-122.0346,Santa Cruz,California,Santa Cruz,US
41.5495,-72.0882,Norwich,Connecticut,Southeastern Connecticut,US
43.2281,-86.2562,Muskegon,Michigan,Muskegon,US
28.7672,-81.8962,Leesburg,Florida,Lake,US
35.9910,-79.9937,High Point,North Carolina,Guilford,US
33.2348,-87.5268,Tuscaloosa,Alabama,Tuscaloosa,US
36.3276,-119.3269,Visalia,California,Tulare,US
48.0809,-122.1561,Marysville,Washington,Snohomish,US
37.6328,-122.0766,Hayward,California,Alameda,US
37.3057,-120.4779,Merced,California,Merced,US
40.3991,-86.8593,Lafayette,Indiana,Tippecanoe,US
39.7709,-89.6540,Springfield,Illinois,Sangamon,US
38.8185,-77.0861,Alexandria,Virginia,Alexandria,US
40.9147,-74.1624,Paterson,New Jersey,Passaic,US
33.8616,-117.5649,Corona,California,Riverside,US
32.8065,-83.6974,Macon,Georgia,Bibb,US
42.1014,-75.9093,Binghamton,New York,Broome,US
39.1235,-94.7443,Kansas City,Kansas,Wyandotte,US
39.6977,-105.1172,Lakewood,Colorado,Jefferson,US
37.3836,-122.0255,Sunnyvale,California,Santa Clara,US
31.8801,-102.3448,Odessa,Texas,Ector,US
41.6697,-70.9428,New Bedford,Massachusetts,Bristol,US
26.0293,-80.1679,Hollywood,Florida,Broward,US
42.4614,-83.6526,South Lyon,Michigan,Oakland,US
29.6575,-95.1498,Pasadena,Texas,Harris,US
34.0585,-117.7626,Pomona,California,Los Angeles,US
33.1348,-117.0723,Escondido,California,San Diego,US
30.2010,-93.2111,Lake Charles,Louisiana,Calcasieu,US
41.5188,-88.1499,Joliet,Illinois,Will,US
40.1142,-88.2737,Champaign,Illinois,Champaign,US
32.7602,-96.5865,Mesquite,Texas,Dallas,US
38.2583,-122.0335,Fairfield,California,Solano,US
41.6916,-85.9627,Elkhart,Indiana,Elkhart,US
47.5951,-122.1535,Bellevue,Washington,King,US
41.7480,-88.1659,Naperville,Illinois,DuPage,US
37.0758,-113.5752,St. George,Utah,Washington,US
39.0346,-95.6955,Topeka,Kansas,Shawnee,US
36.0760,-79.4685,Burlington,North Carolina,Alamance,US
33.8346,-118.3416,Torrance,California,Los Angeles,US
32.5961,-83.6527,Warner Robins,Georgia,Houston,US
38.7703,-121.3196,Roseville,California,Placer,US
34.9333,-120.4431,Santa Maria,California,Santa Barbara,US
33.9508,-83.3689,Athens,Georgia,Clarke,US
29.5800,-90.7059,Houma,Louisiana,Terrebonne,US
33.8841,-117.9279,Fullerton,California,Orange,US
38.9472,-92.3268,Columbia,Missouri,Boone,US
33.6815,-112.4515,Surprise,Arizona,Maricopa,US
40.4152,-104.7706,Greeley,Colorado,Weld,US
30.0849,-94.1451,Beaumont,Texas,Jefferson,US
32.3265,-106.7893,Las Cruces,New Mexico,Doña Ana,US
29.9977,-90.1780,Metairie,Louisiana,Jefferson,US
39.9197,-104.9438,Thornton,Colorado,Adams,US
38.8833,-94.8200,Olathe,Kansas,Johnson,US
32.0243,-102.1147,Midland,Texas,Midland,US
18.4054,-65.9792,Carolina,Puerto Rico,Carolina,US
40.6886,-112.0123,West Valley City,Utah,Salt Lake,US
33.8038,-117.8218,Orange,California,Orange,US
42.4934,-83.0270,Warren,Michigan,Macomb,US
34.1597,-118.1390,Pasadena,California,Los Angeles,US
39.0877,-108.5673,Grand Junction,Colorado,Mesa,US
32.3184,-95.3062,Tyler,Texas,Smith,US
37.0551,-76.3630,Hampton,Virginia,Hampton,US
40.4757,-88.9703,Bloomington,Illinois,McLean,US
40.6658,-74.1913,Elizabeth,New Jersey,Union,US
32.5995,-114.5491,Yuma,Arizona,Yuma,US
47.3887,-122.2128,Kent,Washington,King,US
41.1039,-73.5585,Stamford,Connecticut,Western Connecticut,US
47.7040,-116.7936,Coeur d'Alene,Idaho,Kootenai,US
25.9773,-80.3351,Miramar,Florida,Broward,US
42.5809,-83.0305,Sterling Heights,Michigan,Macomb,US
26.2702,-80.2591,Coral Springs,Florida,Broward,US
39.1357,-121.6383,Yuba City,California,Sutter,US
46.5923,-120.5496,Yakima,Washington,Yakima,US
42.7274,-87.8135,Racine,Wisconsin,Racine,US
36.3406,-82.3806,Johnson City,Tennessee,Washington,US
45.7891,-108.5526,Billings,Montana,Yellowstone,US
32.9890,-96.8999,Carrollton,Texas,Dallas,US
41.6559,-91.5303,Iowa City,Iowa,Johnson,US
39.1610,-75.5202,Dover,Delaware,Kent,US
48.7548,-122.4690,Bellingham,Washington,Whatcom,US
38.3484,-81.6322,Charleston,West Virginia,Kanawha,US
37.4003,-79.1909,Lynchburg,Virginia,Lynchburg,US
37.3646,-121.9680,Santa Clara,California,Santa Clara,US
35.5943,-77.3760,Greenville,North Carolina,Pitt,US
34.2663,-118.7490,Simi Valley,California,Ventura,US
35.3495,-94.3695,Fort Smith,Arkansas,Sebastian,US
35.2335,-97.3471,Norman,Oklahoma,Cleveland,US
18.4491,-66.7387,Arecibo,Puerto Rico,Arecibo,US
32.4543,-99.7384,Abilene,Texas,Taylor,US
42.5865,-87.8773,Kenosha,Wisconsin,Kenosha,US
26.6120,-81.6388,Lehigh Acres,Florida,Lee,US
36.6224,-121.8199,Seaside,California,Monterey,US
44.4876,-73.2316,Burlington,Vermont,Chittenden,US
39.8320,-105.1510,Arvada,Colorado,Jefferson,US
29.5581,-95.3218,Pearland,Texas,Brazoria,US
38.6085,-76.9194,Waldorf,Maryland,Charles,US
39.0871,-94.3501,Independence,Missouri,Jackson,US
44.0154,-92.4780,Rochester,Minnesota,Olmsted,US
41.7399,-111.8422,Logan,Utah,Cache,US
26.1916,-97.6977,Harlingen,Texas,Cameron,US
38.2701,-104.6114,Pueblo,Colorado,Pueblo,US
31.1068,-97.3891,Temple,Texas,Bell,US
37.8722,-122.2760,Berkeley,California,Alameda,US
34.0326,-118.1691,East Los Angeles,California,Los Angeles,US
46.7756,-92.1393,Duluth,Minnesota,St. Louis,US
36.8278,-119.6830,Clovis,California,Fresno,US
40.0248,-105.2524,Boulder,Colorado,Boulder,US
30.5270,-97.6642,Round Rock,Texas,Williamson,US
29.8554,-93.9264,Port Arthur,Texas,Jefferson,US
40.5698,-122.3650,Redding,California,Shasta,US
32.5185,-92.0774,Monroe,Louisiana,Ouachita,US
42.3759,-71.1185,Cambridge,Massachusetts,Middlesex,US
43.0962,-75.2261,Utica,New York,Oneida,US
45.5340,-94.1718,St. Cloud,Minnesota,Stearns,US
30.3751,-90.0904,Mandeville,Louisiana,St. Tammany,US
27.9790,-82.7623,Clearwater,Florida,Pinellas,US
40.6024,-112.0008,West Jordan,Utah,Salt Lake,US
32.9716,-96.7093,Richardson,Texas,Dallas,US
26.7469,-80.1320,West Palm Beach,Florida,Palm Beach,US
30.1738,-95.5134,The Woodlands,Texas,Montgomery,US
37.9477,-122.3389,Richmond,California,Contra Costa,US
39.8837,-105.0624,Westminster,Colorado,Adams,US
43.4199,-83.9501,Saginaw,Michigan,Saginaw,US
27.9367,-82.3000,Brandon,Florida,Hillsborough,US
21.3920,-157.7396,Kailua,Hawaii,Honolulu,US
43.6116,-116.3977,Meridian,Idaho,Ada,US
18.0127,-66.6212,Ponce,Puerto Rico,Ponce,US
33.1246,-117.2834,Carlsbad,California,San Diego,US
42.6389,-71.3217,Lowell,Massachusetts,Middlesex,US
32.9067,-80.0722,North Charleston,South Carolina,Charleston,US
33.9379,-118.1311,Downey,California,Los Angeles,US
45.5021,-122.4413,Gresham,Oregon,Multnomah,US
42.0383,-88.3240,Elgin,Illinois,Kane,US
36.0380,-95.7806,Broken Arrow,Oklahoma,Tulsa,US
42.4918,-92.3522,Waterloo,Iowa,Black Hawk,US
